T25	B-Entity	0	11	Calcineurin	Calcineurin	B-NP	NN	B-protein	2	SUB	B-protein
O	O	12	23	potentiates	potentiate	B-VP	VBZ	O	0	ROOT	O
O	O	24	34	activation	activation	B-NP	NN	O	2	OBJ	O
O	O	35	37	of	of	B-PP	IN	O	3	NMOD	O
O	O	38	41	the	the	B-NP	DT	O	13	NMOD	O
T1	B-Protein	42	53	granulocyte	granulocyte	I-NP	NN	B-DNA	13	NMOD	B-DNA
T1	I-Protein	53	54	-	-	O	HYPH	I-DNA	13	P	I-DNA
T1	I-Protein	54	64	macrophage	macrophage	B-NP	NN	I-DNA	13	NMOD	I-DNA
T1	I-Protein	65	71	colony	colony	I-NP	NN	I-DNA	13	NMOD	I-DNA
T1	I-Protein	71	72	-	-	O	HYPH	I-DNA	13	NMOD	I-DNA
T1	I-Protein	72	83	stimulating	stimulate	B-VP	VBG	I-DNA	13	NMOD	I-DNA
T1	I-Protein	84	90	factor	factor	B-NP	NN	I-DNA	13	NMOD	I-DNA
O	O	91	95	gene	gene	I-NP	NN	I-DNA	4	PMOD	I-DNA
O	O	96	98	in	in	B-PP	IN	O	3	NMOD	O
O	O	99	100	T	T	B-NP	NN	B-cell_type	16	NMOD	B-cell_type
O	O	101	106	cells	cell	I-NP	NNS	I-cell_type	14	PMOD	I-cell_type
O	O	106	107	:	:	O	:	O	2	P	O
O	O	108	119	involvement	involvement	B-NP	NN	O	2	VMOD	O
O	O	120	122	of	of	B-PP	IN	O	18	NMOD	O
O	O	123	126	the	the	B-NP	DT	O	23	NMOD	O
T26	B-Entity	127	136	conserved	conserve	I-NP	VBN	B-DNA	23	NMOD	B-DNA
T26	I-Entity	137	147	lymphokine	lymphokine	I-NP	NN	I-DNA	23	NMOD	I-DNA
T26	I-Entity	148	155	element	element	I-NP	NN	I-DNA	19	PMOD	I-DNA
T26	I-Entity	156	157	0	0	I-NP	CD	I-DNA	23	NMOD	I-DNA
O	O	157	158	.	.	O	.	O	18	P	O

T2	B-Protein	160	171	Granulocyte	Granulocyte	B-NP	NN	B-protein	7	NMOD	B-protein
T2	I-Protein	171	172	-	-	O	HYPH	I-protein	7	NMOD	I-protein
T2	I-Protein	172	182	macrophage	macrophage	B-NP	NN	I-protein	7	NMOD	I-protein
T2	I-Protein	183	189	colony	colony	I-NP	NN	I-protein	7	NMOD	I-protein
T2	I-Protein	189	190	-	-	O	HYPH	I-protein	7	NMOD	I-protein
T2	I-Protein	190	201	stimulating	stimulate	B-VP	VBG	I-protein	7	NMOD	I-protein
T2	I-Protein	202	208	factor	factor	B-NP	NN	I-protein	22	SUB	I-protein
O	O	209	210	(	(	O	(	O	12	DEP	O
T3	B-Protein	210	212	GM	GM	B-NP	NN	B-protein	11	NMOD	B-protein
T3	I-Protein	212	213	-	-	B-NP	HYPH	I-protein	11	P	I-protein
T3	I-Protein	213	216	CSF	CSF	I-NP	NN	I-protein	12	DEP	I-protein
O	O	216	217	)	)	O	)	O	7	NMOD	O
O	O	218	221	and	and	O	CC	O	22	VMOD	O
T4	B-Protein	222	233	interleukin	interleukin	B-NP	NN	B-protein	22	SUB	B-protein
T4	I-Protein	233	234	-	-	O	HYPH	I-protein	14	NMOD	I-protein
T4	I-Protein	234	235	2	2	B-NP	CD	I-protein	14	NMOD	I-protein
O	O	236	237	(	(	O	(	O	21	DEP	O
T5	B-Protein	237	239	IL	IL	B-NP	NN	B-protein	21	DEP	B-protein
T5	I-Protein	239	240	-	-	B-NP	HYPH	I-protein	18	NMOD	I-protein
T5	I-Protein	240	241	2	2	I-NP	CD	I-protein	18	NMOD	I-protein
O	O	241	242	)	)	O	)	O	14	NMOD	O
O	O	243	246	are	be	B-VP	VBP	O	0	ROOT	O
O	O	247	255	produced	produce	I-VP	VBN	O	22	VC	O
O	O	256	258	by	by	B-PP	IN	O	23	VMOD	O
O	O	259	270	stimulation	stimulation	B-NP	NN	O	24	PMOD	O
O	O	271	275	with	with	B-PP	IN	O	25	NMOD	O
O	O	276	283	phorbol	phorbol	B-NP	NN	O	32	NMOD	O
O	O	283	284	-	-	B-NP	HYPH	O	32	NMOD	O
O	O	284	286	12	12	I-NP	CD	O	32	NMOD	O
O	O	286	287	-	-	I-NP	HYPH	O	32	NMOD	O
O	O	287	296	myristate	myristate	I-NP	NN	O	32	NMOD	O
O	O	297	304	acetate	acetate	I-NP	NN	O	38	NMOD	O
O	O	305	306	(	(	O	(	O	35	DEP	O
O	O	306	309	PMA	PMA	B-NP	NN	O	35	DEP	O
O	O	309	310	)	)	O	)	O	32	NMOD	O
O	O	311	314	and	and	O	CC	O	38	NMOD	O
O	O	315	322	calcium	calcium	B-NP	NN	O	38	NMOD	O
O	O	323	332	ionophore	ionophore	I-NP	NN	O	26	PMOD	O
O	O	333	334	(	(	O	(	O	41	DEP	O
O	O	334	340	A23187	A23187	B-NP	NN	O	41	DEP	O
O	O	340	341	)	)	O	)	O	38	NMOD	O
O	O	342	344	in	in	B-PP	IN	O	38	NMOD	O
O	O	345	350	human	human	B-NP	JJ	B-cell_line	48	NMOD	B-cell_line
O	O	351	352	T	T	I-NP	NN	I-cell_line	48	NMOD	I-cell_line
O	O	353	357	cell	cell	I-NP	NN	I-cell_line	48	NMOD	I-cell_line
O	O	358	366	leukemia	leukemia	I-NP	NN	I-cell_line	48	NMOD	I-cell_line
O	O	367	373	Jurkat	Jurkat	I-NP	NN	I-cell_line	48	NMOD	I-cell_line
O	O	374	379	cells	cell	I-NP	NNS	I-cell_line	42	PMOD	I-cell_line
